Player,Country
Mohammad Ramzan (PAK),PAK
JP Stephenson (ENG),ENGLAND
FA Ward (AUS),AUS
VR Aaron (INDIA),INDIA
Amir Hamza (AFG),WORLD
J Angel (AUS),AUS
GB Brent (ZIM),WORLD
DE Hoare (AUS),AUS
RG Holland (AUS),AUS
NV Lindsay (SA),SA
EA Moseley (WI),WI
PC Strydom (SA),SA
GE Tribe (AUS),AUS
VA Valentine (WI),WI
J Arnold (ENG),ENGLAND
AR Butcher (ENG),ENGLAND
MG Grell (WI),WI
RNS Hobbs (ENG),ENGLAND
AP Kuiper (SA),SA
M Mbangwa (ZIM),WORLD
CA Merry (WI),WI
Mohammad Aslam (PAK),PAK
Mohammad Talha (PAK),PAK
Nadeem Khan (PAK),PAK
PJ Petherick (NZ),NZ
JP Taylor (ENG),ENGLAND
T Armitage (ENG),ENGLAND
AW Briscoe (SA),SA
Farhan Adil (PAK),PAK
AJ Fothergill (ENG),ENGLAND
Israr Ali (PAK),PAK
P Krishnamurthy (INDIA),INDIA
MJ Macaulay (SA),SA
Mohammad Nabi (AFG),WORLD
J Newman (NZ),NZ
PDRL Perera (SL),SL
KM Rangnekar (INDIA),INDIA
DW Richardson (ENG),ENGLAND
TPB Smith (ENG),ENGLAND
Vizianagram (INDIA),INDIA
Bazid Khan (PAK),PAK
NT Broom (NZ),NZ
N Gallichan (NZ),NZ
MEZ Ghazali (PAK),PAK
RJ Kirtley (ENG),ENGLAND
Aamer Nazir (PAK),PAK
AG Archer (ENG),ENGLAND
Arshad Khan (PAK),PAK
J Cranston (ENG),ENGLAND
GR Dickinson (NZ),NZ
JA Flavell (ENG),ENGLAND
RM Harris (NZ),NZ
RB Kerr (AUS),AUS
N Puna (NZ),NZ
GB Studd (ENG),ENGLAND
S Viswanath (INDIA),INDIA
DJ White (NZ),NZ
Yamin Ahmadzai (AFG),WORLD
JP Duminy (SA),SA
MC Frederick (WI),WI
CG Halse (SA),SA
HTW Hardinge (ENG),ENGLAND
WK Hegg (ENG),ENGLAND
MDUS Jayasundera (SL),SL
LJ Nash (AUS),AUS
S Nazir Ali (INDIA),INDIA
ES Newson (SA),SA
G Onions (ENG),ENGLAND
FE Rumsey (ENG),ENGLAND
JW Rutherford (AUS),AUS
RA Saggers (AUS),AUS
M Sherwin (ENG),ENGLAND
DBM Smith (AUS),AUS
V Yadav (INDIA),INDIA
Zahoor Elahi (PAK),PAK
KV Andrew (ENG),ENGLAND
PC Charlton (AUS),AUS
Ijaz Ahmed jnr (PAK),PAK
PE Palia (INDIA),INDIA
JH Parks (ENG),ENGLAND
MD Shanaka (SL),SL
IR Siddiqui (INDIA),INDIA
CEW Silverwood (ENG),ENGLAND
PB Truscott (NZ),NZ
F Barratt (ENG),ENGLAND
WE Bowes (ENG),ENGLAND
CAR Duckworth (SA),SA
FAW Freer (AUS),AUS
SR Gillespie (NZ),NZ
BP Gupte (INDIA),INDIA
JR Hammond (AUS),AUS
MC Ilott (ENG),ENGLAND
RJ Kennedy (NZ),NZ
Liaqat Ali (PAK),PAK
CN McCarthy (SA),SA
JN Maguire (AUS),AUS
Mohammad Irfan (PAK),PAK
RJ Nicol (NZ),NZ
AT Roberts (WI),WI
J Shuter (ENG),ENGLAND
GB Stevenson (ENG),ENGLAND
R Vijay Bharadwaj (INDIA),INDIA
MD Wettimuny (SL),SL
JA Young (ENG),ENGLAND
GI Allott (NZ),NZ
RMH Cottam (ENG),ENGLAND
LV Garrick (WI),WI
RK Kleinveldt (SA),SA
J Lewis (ENG),ENGLAND
NJ Maddinson (AUS),AUS
RR Singh (INDIA),INDIA
EA van der Merwe (SA),SA
AJ Woodcock (AUS),AUS
RA Young (ENG),ENGLAND
Atiq-uz-Zaman (PAK),PAK
IW Callen (AUS),AUS
TW Cartwright (ENG),ENGLAND
IA Greig (ENG),ENGLAND
A Habib (ENG),ENGLAND
F Kuys (SA),SA
PG McShane (AUS),AUS
JW Martin (ENG),ENGLAND
W Newham (ENG),ENGLAND
D Olivier (SA),SA
JE Pothecary (SA),SA
K Rai Singh (INDIA),INDIA
RR Ramdass (WI),WI
GA Rowe (SA),SA
GC Viljoen (SA),SA
CH Vintcent (SA),SA
Atif Rauf (PAK),PAK
MP Bowden (ENG),ENGLAND
RG Draper (SA),SA
D Ganesh (INDIA),INDIA
GM Griffin (SA),SA
LJ Johnson (AUS),AUS
AJ McKay (NZ),NZ
CH Mills (SA),SA
Mohammad Salman (PAK),PAK
TA Munton (ENG),ENGLAND
JM Patel (INDIA),INDIA
RC Saxena (INDIA),INDIA
Shahid Mahmood (PAK),PAK
IM Sinclair (NZ),NZ
TF Smailes (ENG),ENGLAND
DV Smith (ENG),ENGLAND
VM Tancred (SA),SA
GC Tonge (WI),WI
SL Watkin (ENG),ENGLAND
Abu Jayed (BDESH),WORLD
DD Blackie (AUS),AUS
BP Bracewell (NZ),NZ
Kabir Khan (PAK),PAK
NA Knox (ENG),ENGLAND
SH Lewis (WI),WI
MAWR Madurasinghe (SL),SL
AM Miller (ENG),ENGLAND
Mohammad Akram (PAK),PAK
F Mutizwa (ZIM),WORLD
CEL Stuart (WI),WI
Sunzamul Islam (BDESH),WORLD
Zulqarnain (PAK),PAK
LS Baker (WI),WI
VA Barton (ENG),ENGLAND
WM Bradley (ENG),ENGLAND
IP Butchart (ZIM),WORLD
PH Carlson (AUS),AUS
FE Fisher (NZ),NZ
RA Jones (NZ),NZ
RC Miller (WI),WI
Qais Ahmad (AFG),WORLD
AW Seccull (SA),SA
ML Udawatte (SL),SL
BA Williams (AUS),AUS
B Andrews (NZ),NZ
Anwar Hossain Monir (BDESH),WORLD
RA Austin (WI),WI
HR Butt (ENG),ENGLAND
HG Gaekwad (INDIA),INDIA
C Karunaratne (SL),SL
CKB Kulasekara (SL),SL
PE McIntyre (AUS),AUS
G Noblet (AUS),AUS
CH Palmer (ENG),ENGLAND
WN Phillips (AUS),AUS
D Pretorius (SA),SA
CAK Rajitha (SL),SL
DA Renneberg (AUS),AUS
SV Samuelson (SA),SA
Tareq Aziz (BDESH),WORLD
AL Thomson (AUS),AUS
RGCE Wijesuriya (SL),SL
W Bell (NZ),NZ
MI Black (WI),WI
W Brearley (ENG),ENGLAND
G Cripps (SA),SA
Ehsan Adil (PAK),PAK
NR Ferreira (ZIM),WORLD
GK Glover (SA),SA
JC Hill (AUS),AUS
AN Hornby (ENG),ENGLAND
JD Lindsay (SA),SA
MJ McCague (ENG),ENGLAND
GA Manou (AUS),AUS
WP Masakadza (ZIM),WORLD
T Meale (NZ),NZ
LE Nagel (AUS),AUS
DJ Pattinson (ENG),ENGLAND
NV Radford (ENG),ENGLAND
JC Reedman (AUS),AUS
VPFA Royle (ENG),ENGLAND
J Trim (WI),WI
GL Wight (WI),WI
RD Woolley (AUS),AUS
RRS Cornwall (WI),WI
HT Davis (NZ),NZ
F de Wet (SA),SA
CJ Eady (AUS),AUS
I Khan (SA),SA
LA Markham (SA),SA
T Maruma (ZIM),WORLD
TB Mitchell (ENG),ENGLAND
Naved Latif (PAK),PAK
SS Schultz (ENG),ENGLAND
T Shamsi (SA),SA
SW Tait (AUS),AUS
MF Tremlett (ENG),ENGLAND
A Wharton (ENG),ENGLAND
HV Baumgartner (SA),SA
DC Cleverley (NZ),NZ
A Coxon (ENG),ENGLAND
LP Jai (INDIA),INDIA
S Jeganathan (SL),SL
HW Lee (ENG),ENGLAND
AJW McIntyre (ENG),ENGLAND
SV Nayak (INDIA),INDIA
AL Phehlukwayo (SA),SA
OP Stone (ENG),ENGLAND
AJ Traicos (SA/ZIM),WORLD
LL Tsotsobe (SA),SA
AR Adams (NZ),NZ
JJ Bumrah (INDIA),INDIA
BB Cooper (AUS),AUS
AJ Evans (ENG),ENGLAND
MJ Gopalan (INDIA),INDIA
Gursharan Singh (INDIA),INDIA
C Heseltine (ENG),ENGLAND
AR McBrine (IRE),WORLD
JE McConnon (ENG),ENGLAND
EG McLeod (NZ),NZ
Mohammad Hussain (PAK),PAK
Mujeeb Ur Rahman (AFG),WORLD
RAP Nissanka (SL),SL
NJ O'Brien (IRE),WORLD
Sajedul Islam (BDESH),WORLD
RH Scott (NZ),NZ
EL St Hill (WI),WI
AI Taylor (SA),SA
HH Alexander (AUS),AUS
RT Barber (NZ),NZ
GD Barlow (ENG),ENGLAND
GA Briant (ZIM),WORLD
D Brookes (ENG),ENGLAND
LS Brown (SA),SA
S Christopherson (ENG),ENGLAND
JL Cox (SA),SA
DT Dewdney (WI),WI
R Dhanraj (WI),WI
BBM Gaskin (WI),WI
S Guha (INDIA),INDIA
Khalid Hasan (PAK),PAK
EZ Matambanadzo (ZIM),WORLD
Nasir Jamal (AFG),WORLD
N Ncube (ZIM),WORLD
Niaz Ahmed (PAK),PAK
AD Pougher (ENG),ENGLAND
N Reid (SA),SA
Sohail Tanvir (PAK),PAK
PIC Thompson (WI),WI
AGD Wickremasinghe (SL),SL
M Baqa Jilani (INDIA),INDIA
DV Brennan (ENG),ENGLAND
RP Burl (ZIM),WORLD
LS Butler (WI),WI
W Carkeek (AUS),AUS
MVT Fernando (SL),SL
Imran Khan (PAK),PAK
CK Langeveldt (SA),SA
JDF Larter (ENG),ENGLAND
James Lillywhite jnr (ENG),ENGLAND
Muhammad Musa (PAK),PAK
R Nanan (WI),WI
Nazmul Hossain (BDESH),WORLD
JM Neblett (WI),WI
AE Ochse (SA),SA
MB Owens (NZ),NZ
JB Plimsoll (SA),SA
AW Powell (SA),SA
JM Sims (ENG),ENGLAND
DJ Terbrugge (SA),SA
VP Terry (ENG),ENGLAND
A Waddington (ENG),ENGLAND
Agha Zahid (PAK),PAK
Anwar Khan (PAK),PAK
AL Apte (INDIA),INDIA
HJ Butler (ENG),ENGLAND
CG Fichardt (SA),SA
JC Hartley (ENG),ENGLAND
PA Hibbert (AUS),AUS
H Howell (ENG),ENGLAND
HL Jackson (ENG),ENGLAND
SS Karim (INDIA),INDIA
C Munro (NZ),NZ
T Mupariwa (ZIM),WORLD
W Mwayenga (ZIM),WORLD
L Ngidi (SA),SA
AW Palm (SA),SA
MR Rege (INDIA),INDIA
MWW Selvey (ENG),ENGLAND
Sohrawordi Shuvo (BDESH),WORLD
MJC Allom (ENG),ENGLAND
Anwar Hossain (BDESH),WORLD
Azam Khan (PAK),PAK
Azhar Khan (PAK),PAK
GF Cresswell (NZ),NZ
P Hutchinson (SA),SA
TE Kane (IRE),WORLD
Khalid Wazir (PAK),PAK
F Martin (ENG),ENGLAND
S Morris (AUS),AUS
PWA Mulder (SA),SA
CT Mumba (ZIM),WORLD
B Muzarabani (ZIM),WORLD
MJ Nicholson (AUS),AUS
ASM Oakman (ENG),ENGLAND
CT Patankar (INDIA),INDIA
SR Patil (INDIA),INDIA
HLE Promnitz (SA),SA
A Rose-Innes (SA),SA
Subashis Roy (BDESH),WORLD
NC Tufnell (ENG),ENGLAND
GF Vernon (ENG),ENGLAND
KIW Wijegunawardene (SL),SL
Ziaur Rahman (BDESH),WORLD
SN Banerjee (INDIA),INDIA
A Coningham (AUS),AUS
WH Cooper (AUS),AUS
Hon.CJ Coventry (ENG),ENGLAND
TWJ Goddard (ENG),ENGLAND
L Hone (ENG),ENGLAND
Jubair Hossain (BDESH),WORLD
UN Kulkarni (INDIA),INDIA
HA Musgrove (AUS),AUS
PWG Parker (ENG),ENGLAND
R Pollard (ENG),ENGLAND
RR Powar (INDIA),INDIA
S Ragoonath (WI),WI
RT Stanyforth (ENG),ENGLAND
RB Stewart (SA),SA
PHJ Trimborn (SA),SA
KP Walmsley (NZ),NZ
CAK Walton (WI),WI
T Yohannan (INDIA),INDIA
CE Floquet (SA),SA
Ghulam Abbas (PAK),PAK
GL Gibbs (WI),WI
G Gladstone (WI),WI
JL Hopwood (ENG),ENGLAND
LWS Kaluperuma (SL),SL
NT Pascal (WI),WI
ACS Pigott (ENG),ENGLAND
GK Robertson (NZ),NZ
Shahid Saeed (PAK),PAK
Wafadar Momand (AFG),WORLD
FH Walters (AUS),AUS
CD Watson (WI),WI
MG Webb (NZ),NZ
MR Adair (IRE),WORLD
FS Ahangama (SL),SL
BJ Bess (WI),WI
EG Bock (SA),SA
SJE Brown (ENG),ENGLAND
SS Cottrell (WI),WI
WF Giffen (AUS),AUS
EJ Gregory (AUS),AUS
TU Groube (AUS),AUS
GM Guard (INDIA),INDIA
CEJ Guest (AUS),AUS
AE Hall (SA),SA
H Klaasen (SA),SA
VM Muddiah (INDIA),INDIA
JM Noreiga (WI),WI
AL Ochse (SA),SA
G Sharma (INDIA),INDIA
CK Singh (WI),WI
J Slight (AUS),AUS
GB Street (ENG),ENGLAND
R Vinay Kumar (INDIA),INDIA
MG Waite (AUS),AUS
KA Walter (SA),SA
BT Watambwa (ZIM),WORLD
PN Webb (NZ),NZ
JJ Whitaker (ENG),ENGLAND
JP Agnew (ENG),ENGLAND
Kabir Ali (ENG),ENGLAND
GD Campbell (AUS),AUS
B Casson (AUS),AUS
AC Dawson (SA),SA
H Dean (ENG),ENGLAND
AM de Silva (SL),SL
WRS de Silva (SL),SL
CJ Drum (NZ),NZ
GM Emmett (ENG),ENGLAND
ESH Giddins (ENG),ENGLAND
JR Hodges (AUS),AUS
CL Johnson (SA),SA
TA Lloyd (ENG),ENGLAND
CJ McKay (AUS),AUS
JM Mennie (AUS),AUS
BD Morrison (NZ),NZ
DT Mutendera (ZIM),WORLD
AM Pai (INDIA),INDIA
KE Palmer (ENG),ENGLAND
Pankaj Singh (INDIA),INDIA
SF Rehman (PAK),PAK
JPF Travers (AUS),AUS
KEA Upashantha (SL),SL
PK Wijetunge (SL),SL
ER Wilson (ENG),ENGLAND
B Yograj Singh (INDIA),INDIA
KN Amalean (SL),SL
TS Chisoro (ZIM),WORLD
LJ Coldwell (ENG),ENGLAND
EQ Davies (SA),SA
M de Lange (SA),SA
RR Dower (SA),SA
A Hearne (ENG),ENGLAND
Iftikhar Anjum (PAK),PAK
TF Johnson (WI),WI
LR Joslin (AUS),AUS
J McIlwraith (AUS),AUS
B Mavuta (ZIM),WORLD
Mohammad Khalil (PAK),PAK
NO Norton (SA),SA
RJ Quiney (AUS),AUS
Riaz Afridi (PAK),PAK
GF Rorke (AUS),AUS
BN Schultz (SA),SA
AK Sengupta (INDIA),INDIA
FW Tate (ENG),ENGLAND
DS Tomlinson (SA),SA
Zakir Khan (PAK),PAK
Agha Saadat Ali (PAK),PAK
Alamgir Kabir (BDESH),WORLD
HS Chang (WI),WI
UG Dowe (WI),WI
FJ Durston (ENG),ENGLAND
PA Emery (AUS),AUS
N Gordon (SA),SA
J Harry (AUS),AUS
M Henderson (NZ),NZ
CFW Hime (SA),SA
DJ Johnson (INDIA),INDIA
S Kalavitigoda (SL),SL
ACI Lock (ZIM),WORLD
HSB Love (AUS),AUS
DAN McRae (NZ),NZ
NA Mallender (ENG),ENGLAND
NE Marshall (WI),WI
BD Milburn (NZ),NZ
Mufasir-ul-Haq (PAK),PAK
N M'shangwe (ZIM),WORLD
Naseem Shah (PAK),PAK
GWF Overton (NZ),NZ
AL Padmore (WI),WI
GH Pope (ENG),ENGLAND
U Ranchod (ZIM),WORLD
CR Rangachari (INDIA),INDIA
KV Sharma (INDIA),INDIA
JT Willoughby (SA),SA
RJ Blakey (ENG),ENGLAND
N Chopra (INDIA),INDIA
FJ Cook (SA),SA
Ehsanul Haque (BDESH),WORLD
Faisal Hossain (BDESH),WORLD
WHB Frank (SA),SA
RHM Hands (SA),SA
RI Harford (NZ),NZ
Ikram Alikhil (AFG),WORLD
SD Jack (SA),SA
CM Kuggeleijn (NZ),NZ
WHV Levett (ENG),ENGLAND
TG McMahon (NZ),NZ
AM Matheson (NZ),NZ
W Mead (ENG),ENGLAND
Mohammad Zahid (PAK),PAK
Munir Malik (PAK),PAK
S Nyalchand (INDIA),INDIA
GAHM Parkar (INDIA),INDIA
Rafiqul Islam (BDESH),WORLD
Shahid Israr (PAK),PAK
H Smith (ENG),ENGLAND
J Southerton (ENG),ENGLAND
A Warren (ENG),ENGLAND
DM Washington (WI),WI
GEC Wood (ENG),ENGLAND
SA Ankola (INDIA),INDIA
MA Beer (AUS),AUS
R Berry (ENG),ENGLAND
AR Bhat (INDIA),INDIA
JH Cameron (WI),WI
PP Chawla (INDIA),INDIA
DP Conyngham (SA),SA
AHC Cooper (SA),SA
WH Copson (ENG),ENGLAND
G Coulthard (AUS),AUS
MS Crane (ENG),ENGLAND
AC Dale (AUS),AUS
AR Dell (AUS),AUS
SH Emery (AUS),AUS
CE Finlason (SA),SA
PLS Gamage (SL),SL
RA Gaunt (AUS),AUS
R Graham (SA),SA
Harvinder Singh (INDIA),INDIA
JM Holland (AUS),AUS
AP Igglesden (ENG),ENGLAND
VV Kumar (INDIA),INDIA
F Morley (ENG),ENGLAND
SA Muller (AUS),AUS
TK Musakanda (ZIM),WORLD
DC Parkin (SA),SA
WFF Price (ENG),ENGLAND
CFH Prince (SA),SA
Rajinder Pal (INDIA),INDIA
V Razdan (INDIA),INDIA
AR Richards (SA),SA
TL Richmond (ENG),ENGLAND
MW Rushmere (SA),SA
KJ Silva (SL),SL
RA Sinfield (ENG),ENGLAND
R Wood (ENG),ENGLAND
FE Allan (AUS),AUS
IBA Allen (WI),WI
WM Anderson (NZ),NZ
SG Borthwick (ENG),ENGLAND
T Bosch (SA),SA
GR Breese (WI),WI
GE Corling (AUS),AUS
A Ducat (ENG),ENGLAND
KH Eastwood (AUS),AUS
JN Hamilton (WI),WI
A Hurwood (AUS),AUS
RJD Jamshedji (INDIA),INDIA
HK Jayantilal (INDIA),INDIA
TP Kamungozi (ZIM),WORLD
NM Kulkarni (INDIA),INDIA
FA MacKinnon (ENG),ENGLAND
Mahbubul Alam (BDESH),WORLD
AP Marr (AUS),AUS
NO Miller (WI),WI
NS Mitchell-Innes (ENG),ENGLAND
GH Mudie (WI),WI
TRO Payne (WI),WI
S Prasanna (SL),SL
RH Robinson (AUS),AUS
AHP Scott (WI),WI
SMSM Senanayake (SL),SL
A Shahzad (ENG),ENGLAND
GL Tapscott (SA),SA
B Arun (INDIA),INDIA
HK Bennett (NZ),NZ
ID Blackwell (ENG),ENGLAND
C Burke (NZ),NZ
FJ Burton (AUS),AUS
ID Buys (SA),SA
JAK Cochran (SA),SA
C Cook (ENG),ENGLAND
JT Cottam (AUS),AUS
Ebadat Hossain (BDESH),WORLD
CJ Ferguson (AUS),AUS
H Foley (NZ),NZ
RA Gleeson (SA),SA
T Greenhough (ENG),ENGLAND
MJ Haslam (NZ),NZ
Irfan Fazil (PAK),PAK
MP Jarvis (ZIM),WORLD
Javed Akhtar (PAK),PAK
GR Loveridge (NZ),NZ
Mir Hamza (PAK),PAK
Nazmul Islam (BDESH),WORLD
WHM Richards (SA),SA
AM Smith (ENG),ENGLAND
HD Smith (NZ),NZ
WRT Solomon (SA),SA
Khaled Ahmed (BDESH),WORLD
JO Taylor (WI),WI
SN Thakur (INDIA),INDIA
JJ Warr (ENG),ENGLAND
AJ Webbe (ENG),ENGLAND
S Young (AUS),AUS
ST Banerjee (INDIA),INDIA
A Brown (ENG),ENGLAND
NR Chowdhury (INDIA),INDIA
CB Clarke (WI),WI
SH Cook (AUS),AUS
JRF Duncan (AUS),AUS
Farooq Hamid (PAK),PAK
IS Gallage (SL),SL
JB Gannon (AUS),AUS
JK Irani (INDIA),INDIA
JB Iverson (AUS),AUS
Jalal-ud-Din (PAK),PAK
IS Madray (WI),WI
MJ Mason (NZ),NZ
CWL Parker (ENG),ENGLAND
GM Parker (SA),SA
RTD Perks (ENG),ENGLAND
RJ Pope (AUS),AUS
MA Small (WI),WI
CA Smith (ENG),ENGLAND
MM Sood (INDIA),INDIA
GR Sunderam (INDIA),INDIA
CDUS Weerasinghe (SL),SL
AP Wells (ENG),ENGLAND
LL Wilkinson (ENG),ENGLAND
JH Childs (ENG),ENGLAND
V Dahiya (INDIA),INDIA
JF du Toit (SA),SA
Ehteshamuddin (PAK),PAK
DL Freeman (NZ),NZ
PR George (AUS),AUS
AR Gover (ENG),ENGLAND
RSA Jayasekera (SL),SL
JJ Kotze (SA),SA
RR Kulkarni (INDIA),INDIA
AF Lissette (NZ),NZ
BE McGain (AUS),AUS
ES Maka (INDIA),INDIA
ADG Matthews (ENG),ENGLAND
Qaiser Abbas (PAK),PAK
Ranjan Das (BDESH),WORLD
WR Robertson (AUS),AUS
AD Russell (WI),WI
RL Sanghvi (INDIA),INDIA
A Sidebottom (ENG),ENGLAND
HM Taberer (SA),SA
KK Tarapore (INDIA),INDIA
NHCD Theunissen (SA),SA
JD Unadkat (INDIA),INDIA
L Watt (NZ),NZ
CA Wiles (WI),WI
Aizaz Cheema (PAK),PAK
Imtiaz Ali (WI),WI
Ashfaq Ahmed (PAK),PAK
WH Ashley (SA),SA
MT Chinouya (ZIM),WORLD
IA Colquhoun (NZ),NZ
Z Crawley (ENG),ENGLAND
A Dolphin (ENG),ENGLAND
LH Ferguson (NZ),NZ
RL Fuller (WI),WI
BR Jurangpathy (SL),SL
ESM Kentish (WI),WI
SC Kerrigan (ENG),ENGLAND
FL le Roux (SA),SA
EB Lundie (SA),SA
Miran Bakhsh (PAK),PAK
S Nadeem (INDIA),INDIA
DD Parsana (INDIA),INDIA
SW Poynter (IRE),WORLD
L Ramji (INDIA),INDIA
JA Richardson (AUS),AUS
MJ Saggers (ENG),ENGLAND
DG Sewell (NZ),NZ
Shakeel Ahmed snr (PAK),PAK
KN Slater (AUS),AUS
LB Taylor (ENG),ENGLAND
G Thornton (SA),SA
Waqar Salamkheil (AFG),WORLD
Yasir Ali (PAK),PAK
MKDI Amerasinghe (SL),SL
SA Banerjee (INDIA),INDIA
JE Benjamin (ENG),ENGLAND
GE Bond (SA),SA
LA Butterfield (NZ),NZ
DW Carr (ENG),ENGLAND
GA Chevalier (SA),SA
SP Davis (AUS),AUS
CD Dixon (SA),SA
JH du Preez (SA),SA
GF Grace (ENG),ENGLAND
RPW Guneratne (SL),SL
GG Hall (SA),SA
GM Hamilton (ENG),ENGLAND
MA Hanley (SA),SA
GG Hearne (ENG),ENGLAND
D Hettiarachchi (SL),SL
WA Hunt (AUS),AUS
AS Jaggernauth (WI),WI
GA Kempis (SA),SA
AK Kuruppuarachchi (SL),SL
IB Leggat (NZ),NZ
PT Lewis (SA),SA
JW McLaren (AUS),AUS
JEP McMaster (ENG),ENGLAND
CS Marriott (ENG),ENGLAND
KR Meherhomji (INDIA),INDIA
KD Meuleman (AUS),AUS
DS Mohanty (INDIA),INDIA
AW Mold (ENG),ENGLAND
Nadeem Ghauri (PAK),PAK
M Ngam (SA),SA
RL Park (AUS),AUS
RGM Patel (INDIA),INDIA
KK Peters (WI),WI
HJ Rhodes (ENG),ENGLAND
LA Roberts (WI),WI
CG Rowe (NZ),NZ
CJ Sayers (AUS),AUS
TAP Sekhar (INDIA),INDIA
RHD Sellers (AUS),AUS
R Singh (INDIA),INDIA
SD Snooke (SA),SA
HM Thurlow (AUS),AUS
LR Tuckett (SA),SA
PS Twentyman-Jones (SA),SA
EJ Tyler (ENG),ENGLAND
M Venkataramana (INDIA),INDIA
DW White (ENG),ENGLAND
P Wilson (AUS),AUS
CS Wimble (SA),SA
Zahir Khan (AFG),WORLD
Ali Hussain Rizvi (PAK),PAK
PJ Allan (AUS),AUS
JC Clay (ENG),ENGLAND
DJ Cullen (AUS),AUS
HT Dani (INDIA),INDIA
Farrukh Zaman (PAK),PAK
AB Howard (WI),WI
A Khan (ENG),ENGLAND
JCW MacBryan (ENG),ENGLAND
LR Pierre (WI),WI
V Rajindernath (INDIA),INDIA
HD Read (ENG),ENGLAND
CF Root (ENG),ENGLAND
Shahid Mahboob (PAK),PAK
RC Shukla (INDIA),INDIA
CA Snedden (NZ),NZ
VN Swamy (INDIA),INDIA
Usman Shinwari (PAK),PAK
CM Willoughby (SA),SA
JW Wilson (AUS),AUS
